recording_id,passage_id,start_s,end_s,time_basis,anchor_ns,kind,boundary_status,outcome,obstacle_id,repeat_group_id,human_review_status,evidence,notes
gait_20260909_144907_fd57c06d30d3,gait_20260909_144907_fd57c06d30d3-P01,0.0,120.005768292,source_stamp_minus_manifest_started_wall_ns,1788936547150611101,candidate_continuous_passage,candidate_not_human_confirmed,uncertain,,,pending,录制内暂保留连续关系；实际通行数与起终点待复核,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_145241_9cae0ba51169,gait_20260909_145241_9cae0ba51169-P01,0.0,16.698716726999976,source_stamp_minus_manifest_started_wall_ns,1788936761721470832,candidate_continuous_passage,candidate_not_human_confirmed,uncertain,,,pending,录制内暂保留连续关系；实际通行数与起终点待复核,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_145331_616f9d8038d9,gait_20260909_145331_616f9d8038d9-P01,0.0,93.26002346299998,source_stamp_minus_manifest_started_wall_ns,1788936811348370187,candidate_continuous_passage,candidate_not_human_confirmed,uncertain,,,pending,录制内暂保留连续关系；实际通行数与起终点待复核,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_145914_2e0541078764,gait_20260909_145914_2e0541078764-P01,0.0,39.444364042000075,source_stamp_minus_manifest_started_wall_ns,1788937154072699273,candidate_continuous_passage,candidate_not_human_confirmed,uncertain,,,pending,录制内暂保留连续关系；实际通行数与起终点待复核,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_150146_9b19dc6690ec,gait_20260909_150146_9b19dc6690ec-P01,0.0,19.0,source_stamp_minus_manifest_started_wall_ns,1788937306966536491,candidate_continuous_passage,candidate_not_human_confirmed,uncertain,,,pending,状态退出/恢复仅隔开控制中断上下文；其他通行分界为点云+姿态活动间歇提出的候选,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_150146_9b19dc6690ec,gait_20260909_150146_9b19dc6690ec-P02,19.0,37.0,source_stamp_minus_manifest_started_wall_ns,1788937306966536491,candidate_continuous_passage,candidate_not_human_confirmed,uncertain,,,pending,状态退出/恢复仅隔开控制中断上下文；其他通行分界为点云+姿态活动间歇提出的候选,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_150146_9b19dc6690ec,gait_20260909_150146_9b19dc6690ec-P03,37.0,50.0,source_stamp_minus_manifest_started_wall_ns,1788937306966536491,candidate_continuous_passage,candidate_not_human_confirmed,uncertain,,,pending,状态退出/恢复仅隔开控制中断上下文；其他通行分界为点云+姿态活动间歇提出的候选,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_150146_9b19dc6690ec,gait_20260909_150146_9b19dc6690ec-P04,50.0,75.0,source_stamp_minus_manifest_started_wall_ns,1788937306966536491,candidate_continuous_passage,candidate_not_human_confirmed,uncertain,,,pending,状态退出/恢复仅隔开控制中断上下文；其他通行分界为点云+姿态活动间歇提出的候选,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_150146_9b19dc6690ec,gait_20260909_150146_9b19dc6690ec-P05,75.0,93.0,source_stamp_minus_manifest_started_wall_ns,1788937306966536491,candidate_continuous_passage,candidate_not_human_confirmed,uncertain,,,pending,状态退出/恢复仅隔开控制中断上下文；其他通行分界为点云+姿态活动间歇提出的候选,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_150146_9b19dc6690ec,gait_20260909_150146_9b19dc6690ec-P06,93.0,114.63989696200008,source_stamp_minus_manifest_started_wall_ns,1788937306966536491,candidate_continuous_passage,candidate_not_human_confirmed,uncertain,,,pending,状态退出/恢复仅隔开控制中断上下文；其他通行分界为点云+姿态活动间歇提出的候选,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_150705_4fe2b5f8eebd,gait_20260909_150705_4fe2b5f8eebd-P01,0.0,23.0,source_stamp_minus_manifest_started_wall_ns,1788937625907206844,candidate_continuous_passage,candidate_not_human_confirmed,uncertain,,,pending,状态退出/恢复仅隔开控制中断上下文；其他通行分界为点云+姿态活动间歇提出的候选,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_150705_4fe2b5f8eebd,gait_20260909_150705_4fe2b5f8eebd-P02,23.0,38.0,source_stamp_minus_manifest_started_wall_ns,1788937625907206844,candidate_continuous_passage,candidate_not_human_confirmed,uncertain,,,pending,状态退出/恢复仅隔开控制中断上下文；其他通行分界为点云+姿态活动间歇提出的候选,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
